	Ток анода	Напряжение анода	Ток накала катода	Ток регулятора расхода	Ток магнитной системы	Ток накала катода	Температура НМ	Температура АП	Температура РР
15:45:22:242	0	0	0	0	0	0	0	0	0
15:45:22:347	0	0	0	0	0	0	0	0	0
15:45:22:446	0	0	0	0	0	0	0	0	0
15:45:22:545	0	0	0	0	0	0	0	0	0
15:45:22:659	0	0	0	0	0	0	0	0	0
15:45:22:752	0	0	0	0	0	0	0	0	0
15:45:22:871	0	0	0	0	0	0	0	0	0
15:45:23:2	0	0	0	0	0	0	0	0	0
15:45:23:118	0	0	0	0	0	0	0	0	0
15:45:23:217	0	0	0	0	0	0	0	0	0
15:45:23:315	0	0	0	0	0	0	0	0	0
15:45:23:428	0	0	0	0	0	0	0	0	0
15:45:23:541	0	0	0	0	0	0	0	0	0
15:45:23:654	0	0	0	0	0	0	0	0	0
15:45:23:756	0	0	0	0	0	0	0	0	0
15:45:23:862	0	0	0	0	0	0	0	0	0
15:45:23:991	0	0	0	0	0	0	0	0	0
15:45:24:88	0	0	0	0	0	0	0	0	0
15:45:24:202	0	0	0	0	0	0	0	0	0
15:45:24:313	0	0	0	0	0	0	0	0	0
15:45:24:412	0	0	0	0	0	0	0	0	0
15:45:24:531	0	0	0	0	0	0	0	0	0
15:45:24:644	0	0	0	0	0	0	0	0	0
15:45:24:750	0	0	0	0	0	0	0	0	0
15:45:24:850	0	0	0	0	0	0	0	0	0
15:45:24:980	0	0	0	0	0	0	0	0	0
15:45:25:73	0	0	0	0	0	0	0	0	0
15:45:25:185	0	0	0	0	0	0	0	0	0
15:45:25:286	0	0	0	0	0	0	0	0	0
15:45:25:413	0	0	0	0	0	0	0	0	0
15:45:25:507	0	0	0	0	0	0	0	0	0
15:45:25:609	0	0	0	0	0	0	0	0	0
15:45:25:730	0	0	0	0	0	0	0	0	0
15:45:25:847	0	0	0	0	0	0	0	0	0
15:45:25:944	0	0	0	0	0	0	0	0	0
15:45:26:45	0	0	0	0	0	0	0	0	0
15:45:26:156	0	0	0	0	0	0	0	0	0
15:45:26:269	0	0	0	0	0	0	0	0	0
15:45:26:391	0	0	0	0	0	0	0	0	0
15:45:26:478	0	0	0	0	0	0	0	0	0
15:45:26:612	0	0	0	0	0	0	0	0	0
15:45:26:711	0	0	0	0	0	0	0	0	0
15:45:26:827	0	0	0	0	0	0	0	0	0
15:45:26:928	0	0	0	0	0	0	0	0	0
15:45:27:41	0	0	0	0	0	0	0	0	0
15:45:27:164	0	0	0	0	0	0	0	0	0
15:45:27:274	0	0	0	0	0	0	0	0	0
15:45:27:367	0	0	0	0	0	0	0	0	0
15:45:27:477	0	0	0	0	0	0	0	0	0
15:45:27:589	0	0	0	0	0	0	0	0	0
15:45:27:690	0	0	0	0	0	0	0	0	0
15:45:27:802	0	0	0	0	0	0	0	0	0
15:45:27:913	0	0	0	0	0	0	0	0	0
15:45:28:32	0	0	0	0	0	0	0	0	0
15:45:28:125	0	0	0	0	0	0	0	0	0
15:45:28:252	0	0	0	0	0	0	0	0	0
15:45:28:359	0	0	0	0	0	0	0	0	0
15:45:28:461	0	0	0	0	0	0	0	0	0
15:45:28:565	0	0	0	0	0	0	0	0	0
15:45:28:677	0	0	0	0	0	0	0	0	0
15:45:28:786	0	0	0	0	0	0	0	0	0
15:45:28:908	0	0	0	0	0	0	0	0	0
15:45:29:9	0	0	0	0	0	0	0	0	0
15:45:29:105	0	0	0	0	0	0	0	0	0
15:45:29:221	0	0	0	0	0	0	0	0	0
15:45:29:333	0	0	0	0	0	0	0	0	0
15:45:29:447	0	0	0	0	0	0	0	0	0
15:45:29:571	0	0	0	0	0	0	0	0	0
15:45:29:662	0	0	0	0	0	0	0	0	0
15:45:29:782	0	0	0	0	0	0	0	0	0
15:45:29:902	0	0	0	0	0	0	0	0	0
15:45:29:992	0	0	0	0	0	0	0	0	0
15:45:30:88	0	0	0	0	0	0	0	0	0
15:45:30:200	0	0	0	0	0	0	0	0	0
15:45:30:326	0	0	0	0	0	0	0	0	0
15:45:30:428	0	0	0	0	0	0	0	0	0
15:45:30:541	0	0	0	0	0	0	0	0	0
15:45:30:640	0	0	0	0	0	0	0	0	0
15:45:30:752	0	0	0	0	0	0	0	0	0
15:45:30:863	0	0	0	0	0	0	0	0	0
15:45:30:976	0	0	0	0	0	0	0	0	0
15:45:31:76	0	0	0	0	0	0	0	0	0
15:45:31:194	0	0	0	0	0
